"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Облачное хранилище для бизнеса: своё или чужое","https://chimitdorzhi.tech/blog/oblachnoe-hranilishche-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Где держать рабочие файлы компании — в чужом облаке или на своём сервере? Разбираю плюсы и минусы обоих вариантов, риски блокировок и вендор-лока, приватность и 152-ФЗ. На примере открытого Nextcloud.","https://chimitdorzhi.tech/blog/oblachnoe-hranilishche-dlya-biznesa-2026/","","облако, self-hosted, Nextcloud, 152-ФЗ"
"Почему оплата этапами честнее 100% предоплаты","https://chimitdorzhi.tech/blog/oplata-etapami-chestnee-predoplaty-2026/pin.png","CHIMITDORZHI STUDIO","","Просят 100% вперёд — повод насторожиться. Готовы работать совсем без аванса — тоже. Разбираю, почему оплата этапами честнее для обеих сторон и как правильно разбить проект на платежи.","https://chimitdorzhi.tech/blog/oplata-etapami-chestnee-predoplaty-2026/","","экспертное, оплата, договор, честность"
"Оплата звёздами в Telegram (Stars): как работает и кому это нужно","https://chimitdorzhi.tech/blog/oplata-zvezdami-telegram-stars-2026/pin.png","CHIMITDORZHI STUDIO","","Звёзды Telegram — внутренняя валюта для оплаты в ботах и мини-приложениях. Разбираю, как это работает, почему цифровые товары обязаны идти через звёзды, а физические — нет, и кому это реально нужно.","https://chimitdorzhi.tech/blog/oplata-zvezdami-telegram-stars-2026/","","Telegram, Telegram Stars, оплата, боты"
"Почему я не обещаю «+X% к продажам» — и что обещаю вместо этого","https://chimitdorzhi.tech/blog/pochemu-ne-obeshchayu-rost-prodazh-2026/pin.png","CHIMITDORZHI STUDIO","","«Сделаем сайт и продажи вырастут на 40%» — обещание, которое честный специалист дать не может: на продажи влияет слишком многое помимо него. Разбираю, почему так, и что я обещаю вместо процентов.","https://chimitdorzhi.tech/blog/pochemu-ne-obeshchayu-rost-prodazh-2026/","","экспертное, честность, метрики, ожидания"
"Почему срываются дедлайны в IT — честно изнутри","https://chimitdorzhi.tech/blog/pochemu-sryvayutsya-dedlayny-2026/pin.png","CHIMITDORZHI STUDIO","","Сорванные сроки в IT — почти норма, и я расскажу честно, почему так. Часто причина не в лени подрядчика, а в расплывчатом ТЗ, правках на ходу и материалах, которые присылают с задержкой. Разбираю и то, как я снижаю риск.","https://chimitdorzhi.tech/blog/pochemu-sryvayutsya-dedlayny-2026/","","экспертное, сроки, управление проектом, честность"
"Почему я отказываюсь от части проектов — и почему это в плюс клиенту","https://chimitdorzhi.tech/blog/pochemu-ya-otkazyvayus-ot-proektov-2026/pin.png","CHIMITDORZHI STUDIO","","Я регулярно говорю клиентам «нет» — и считаю это частью честной работы. Разбираю, от каких проектов отказываюсь, почему это в плюс самому клиенту и как решаю, браться или нет.","https://chimitdorzhi.tech/blog/pochemu-ya-otkazyvayus-ot-proektov-2026/","","экспертное, подход к работе, честность, выбор подрядчика"
"Приём оплаты из-за рубежа в 2026: какие способы есть у бизнеса и фрилансера","https://chimitdorzhi.tech/blog/priem-oplaty-iz-za-rubezha-2026/pin.png","CHIMITDORZHI STUDIO","","Принимать оплату от зарубежных клиентов стало сложнее, но способы есть. Разбираю обзорно, какие варианты бывают у бизнеса и фрилансера, что такое валютный контроль и почему без бухгалтера и юриста тут не обойтись.","https://chimitdorzhi.tech/blog/priem-oplaty-iz-za-rubezha-2026/","","платежи, валютный контроль, фриланс, экспорт"
"Сколько железа нужно локальному ИИ: GPU, RAM, VRAM по моделям","https://chimitdorzhi.tech/blog/skolko-zheleza-nuzhno-lokalnomu-ii-2026/pin.png","CHIMITDORZHI STUDIO","","Главный ограничитель локального ИИ — не скорость, а память: оперативная и видеопамять. Разбираю, сколько нужно под модели 7B/13B/70B, что важнее — GPU или RAM, и как выбрать железо под задачу без переплаты.","https://chimitdorzhi.tech/blog/skolko-zheleza-nuzhno-lokalnomu-ii-2026/","","локальный ИИ, железо, GPU, VRAM"
"Скрытая цена дешёвого сайта или бота: почему экономия выходит дороже","https://chimitdorzhi.tech/blog/skrytaya-cena-deshevogo-sayta-bota-2026/pin.png","CHIMITDORZHI STUDIO","","Сайт «за 5000» и «бот за день» выглядят выгодно, пока не начнёшь считать переделки, потерянные заявки и дыры в безопасности. Разбираю по опыту, из чего складывается скрытая цена дешёвого решения и честная цена нормального.","https://chimitdorzhi.tech/blog/skrytaya-cena-deshevogo-sayta-bota-2026/","","экспертное, цена сайта, разработка, выбор подрядчика"
"Вайбкодинг и «сам соберу на нейросети»: где работает, а где выстрелит в ногу","https://chimitdorzhi.tech/blog/vaybkoding-sam-soberu-na-neyroseti-2026/pin.png","CHIMITDORZHI STUDIO","","Вайбкодинг — это здорово: непрограммист собирает рабочий прототип за вечер. Но между «работает на демо» и «выдержит реальных клиентов» — пропасть. Разбираю честно, где это работает, а где выстрелит в ногу.","https://chimitdorzhi.tech/blog/vaybkoding-sam-soberu-na-neyroseti-2026/","","экспертное, вайбкодинг, разработка, риски"
"«Внедрить ИИ» — неправильная цель: начинайте с проблемы","https://chimitdorzhi.tech/blog/vnedrit-ii-nepravilnaya-cel-2026/pin.png","CHIMITDORZHI STUDIO","","«Нам надо внедрить ИИ» — частый запрос и частая ошибка. ИИ не цель, а инструмент. Разбираю, почему начинать надо с проблемы, и как я иду от задачи к решению, которое не всегда оказывается нейросетью.","https://chimitdorzhi.tech/blog/vnedrit-ii-nepravilnaya-cel-2026/","","экспертное, ИИ для бизнеса, внедрение, методика"
"Зависимость от одного подрядчика или вендора: как не попасть в ловушку","https://chimitdorzhi.tech/blog/zavisimost-ot-podryadchika-vendora-2026/pin.png","CHIMITDORZHI STUDIO","","Пока всё работает, зависимость от одного подрядчика незаметна. Она всплывает, когда он поднимает цены или пропадает, а уйти нельзя — код и доступы только у него. Разбираю, как в это попадают и как защититься.","https://chimitdorzhi.tech/blog/zavisimost-ot-podryadchika-vendora-2026/","","экспертное, вендор-лок, риски, независимость"
"10 ошибок при заказе сайта или бота, которые я вижу постоянно","https://chimitdorzhi.tech/blog/10-oshibok-pri-zakaze-sayta-bota-2026/pin.png","CHIMITDORZHI STUDIO","","Эти ошибки при заказе сайта или бота я вижу постоянно — и они дорого обходятся. Разбираю 10 главных и как застраховаться: от отсутствия ТЗ до владения кодом и поддержки.","https://chimitdorzhi.tech/blog/10-oshibok-pri-zakaze-sayta-bota-2026/","","заказ, сайт, бот, авторская колонка"
"152-ФЗ для чат-ботов и мессенджеров: как собирать заявки и не нарушить закон","https://chimitdorzhi.tech/blog/152-fz-dlya-chat-botov-i-messendzherov-2026/pin.png","CHIMITDORZHI STUDIO","","Если бот собирает имя и телефон — это персональные данные, и 152-ФЗ работает так же, как для сайта. Разбираю, как получить согласие в боте, где хранить данные и как сделать бота по закону.","https://chimitdorzhi.tech/blog/152-fz-dlya-chat-botov-i-messendzherov-2026/","","152-ФЗ, чат-боты, мессенджеры, право"
"3D-печать для бизнеса на Prusa: прототипы, запчасти и мелкосерийка","https://chimitdorzhi.tech/blog/3d-pechat-dlya-biznesa-prusa-2026/pin.png","CHIMITDORZHI STUDIO","","3D-печать даёт бизнесу быстрые прототипы, запчасти под заказ и мелкосерийку. Разбираю, для каких задач подходит, как внедрить на открытых решениях Prusa и когда выгоднее своё, а когда печать на заказ.","https://chimitdorzhi.tech/blog/3d-pechat-dlya-biznesa-prusa-2026/","","3D-печать, Prusa, прототипы, производство"
"7 мифов об ИИ для бизнеса, в которые верят зря","https://chimitdorzhi.tech/blog/7-mifov-ob-ii-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Вокруг ИИ много мифов, которые мешают бизнесу. Разбираю 7 самых частых — от «заменит всех сотрудников» до «нужно отдать данные в зарубежное облако» — и как обстоит на самом деле.","https://chimitdorzhi.tech/blog/7-mifov-ob-ii-dlya-biznesa-2026/","","ИИ, мифы, бизнес, авторская колонка"
"Онлайн-бронирование туров и экскурсий на Байкале: продавать без посредников","https://chimitdorzhi.tech/blog/bronirovanie-turov-ekskursiy-baykal-2026/pin.png","CHIMITDORZHI STUDIO","","Гиду и турфирме на Байкале онлайн-бронирование даёт продажи напрямую, без больших комиссий агрегаторов: расписание, предоплата, напоминания. Разбираю, что нужно и как запустить к летнему сезону.","https://chimitdorzhi.tech/blog/bronirovanie-turov-ekskursiy-baykal-2026/","","туры, экскурсии, Байкал, бронирование"
"ЦФА и публичные блокчейны: что меняет приход регулирования","https://chimitdorzhi.tech/blog/cfa-i-publichnye-blokcheyny-2026/pin.png","CHIMITDORZHI STUDIO","","Если публичные блокчейны войдут в регулируемый контур, ЦФА смогут жить в открытых реестрах — это про прозрачность и доверие. Разбираю, что меняется и чем ЦФА не крипта. Как обзор тренда.","https://chimitdorzhi.tech/blog/cfa-i-publichnye-blokcheyny-2026/","","ЦФА, блокчейн, регулирование, прозрачность"
"ЦФА на недвижимость: как девелоперы привлекают деньги через цифровые активы","https://chimitdorzhi.tech/blog/cfa-na-nedvizhimost-2026/pin.png","CHIMITDORZHI STUDIO","","ЦФА на недвижимость — способ для девелопера привлечь деньги под объект без классических облигаций. Разбираю модели, кому подходит и где риски. Без обещаний доходности и инвестсоветов.","https://chimitdorzhi.tech/blog/cfa-na-nedvizhimost-2026/","","ЦФА, недвижимость, девелопмент, токенизация"
"ЦФА против облигаций и краудфандинга: что выбрать бизнесу для привлечения денег","https://chimitdorzhi.tech/blog/cfa-vs-obligacii-kraudfanding-2026/pin.png","CHIMITDORZHI STUDIO","","Привлечь деньги бизнесу можно через ЦФА, облигации или краудфандинг — у каждого свои плюсы. Честно сравниваю по скорости, цене, объёму и регулированию и кому что подходит.","https://chimitdorzhi.tech/blog/cfa-vs-obligacii-kraudfanding-2026/","","ЦФА, облигации, краудфандинг, привлечение денег"
"Чат-бот FAQ для поддержки в Telegram и MAX: снять до 70% типовых вопросов","https://chimitdorzhi.tech/blog/chat-bot-faq-podderzhka-telegram-max-2026/pin.png","CHIMITDORZHI STUDIO","","FAQ-бот закрывает типовые вопросы клиентов круглосуточно и разгружает поддержку. Размещается в Telegram, MAX и VK сразу. Разбираю, что умеет, как внедрить и где не накосячить.","https://chimitdorzhi.tech/blog/chat-bot-faq-podderzhka-telegram-max-2026/","","чат-бот, поддержка, MAX, Telegram"
"Чек-лист готовности бизнеса к ИИ: внедрять или рано","https://chimitdorzhi.tech/blog/chek-list-gotovnosti-k-ii-2026/pin.png","CHIMITDORZHI STUDIO","","Прежде чем внедрять ИИ, стоит проверить готовность. Делюсь чек-листом из практики: данные, процессы, метрики, команда, 152-ФЗ — и что делать, если по чек-листу пока рано.","https://chimitdorzhi.tech/blog/chek-list-gotovnosti-k-ii-2026/","","ИИ, чек-лист, готовность, авторская колонка"
"ЧПУ и лазерная резка на открытом железе: как малому производству начать","https://chimitdorzhi.tech/blog/chpu-lazernaya-rezka-open-source-2026/pin.png","CHIMITDORZHI STUDIO","","ЧПУ-станки и лазерные резаки с открытой прошивкой — доступный вход в малое производство: детали, гравировка, вывески, мерч. Разбираю применение, открытые решения, внедрение и безопасность. Со ссылкой на GRBL.","https://chimitdorzhi.tech/blog/chpu-lazernaya-rezka-open-source-2026/","","ЧПУ, лазерная резка, GRBL, производство"
"Что автоматизировать в бизнесе первым: моя методика выбора","https://chimitdorzhi.tech/blog/chto-avtomatizirovat-pervym-metodika-2026/pin.png","CHIMITDORZHI STUDIO","","Главная ошибка — автоматизировать красивое, а не больное. Делюсь своей методикой: как найти узкое место и выбрать, что автоматизировать первым, чтобы быстрее окупилось.","https://chimitdorzhi.tech/blog/chto-avtomatizirovat-pervym-metodika-2026/","","автоматизация, методика, приоритеты, авторская колонка"
"Что такое ЦФА простыми словами: как работают цифровые финансовые активы в России","https://chimitdorzhi.tech/blog/chto-takoe-cfa-prostymi-slovami-2026/pin.png","CHIMITDORZHI STUDIO","","ЦФА — это регулируемые цифровые активы по закону 259-ФЗ, а не криптовалюта. Разбираю простыми словами, как они работают, какие бывают и чем отличаются от облигаций. Без инвестиционных советов.","https://chimitdorzhi.tech/blog/chto-takoe-cfa-prostymi-slovami-2026/","","ЦФА, цифровые активы, токенизация, 259-ФЗ"
"Цифровая гигиена для руководителя: как не стать слабым звеном","https://chimitdorzhi.tech/blog/cifrovaya-gigiena-rukovoditelya-2026/pin.png","CHIMITDORZHI STUDIO","","Через руководителя бьют по всей компании: доступ к деньгам, данным, решениям. Разбираю правила цифровой гигиены для директора и команды — без паранойи, но по делу.","https://chimitdorzhi.tech/blog/cifrovaya-gigiena-rukovoditelya-2026/","","безопасность, руководитель, цифровая гигиена, 152-ФЗ"
"Дашборд для руководителя в Telegram и MAX: цифры бизнеса в телефоне каждое утро","https://chimitdorzhi.tech/blog/dashbord-rukovoditelyu-v-telegram-max-2026/pin.png","CHIMITDORZHI STUDIO","","Бот присылает руководителю сводку ключевых цифр бизнеса прямо в Telegram или MAX каждое утро — без таблиц и совещаний. Разбираю, какие метрики выводить и как это собрать.","https://chimitdorzhi.tech/blog/dashbord-rukovoditelyu-v-telegram-max-2026/","","дашборд, отчёты, MAX, руководителю"
"До и после автоматизации: как меняется работа бизнеса","https://chimitdorzhi.tech/blog/do-i-posle-avtomatizacii-keys-2026/pin.png","CHIMITDORZHI STUDIO","","Как автоматизация меняет рабочий день бизнеса на собирательном примере: было — ручная обработка и потерянные заявки, стало — порядок и разгрузка людей. Что сделали и какие выводы.","https://chimitdorzhi.tech/blog/do-i-posle-avtomatizacii-keys-2026/","","кейс, автоматизация, до и после, авторская колонка"
"Электронная очередь и талоны: убрать живую очередь в клинике, сервисе, офисе","https://chimitdorzhi.tech/blog/elektronnaya-ochered-i-talony-2026/pin.png","CHIMITDORZHI STUDIO","","Электронная очередь убирает живую очередь: талон через терминал, QR или бот, вызов на табло, аналитика нагрузки. Для клиник, сервисов и офисов. Разбираю, как это работает и как внедрить.","https://chimitdorzhi.tech/blog/elektronnaya-ochered-i-talony-2026/","","электронная очередь, талоны, клиники, сервис"
"Электронное QR-меню для кафе с заказом со стола: как внедрить","https://chimitdorzhi.tech/blog/elektronnoe-qr-menyu-dlya-kafe-2026/pin.png","CHIMITDORZHI STUDIO","","QR-меню на столе: гость сам заказывает и платит, меню обновляется мгновенно, официанты разгружены, средний чек выше. Разбираю, что должно уметь и как запустить к сезону.","https://chimitdorzhi.tech/blog/elektronnoe-qr-menyu-dlya-kafe-2026/","","QR-меню, кафе, HoReCa, автоматизация"
"Голосовой ИИ-робот для приёма заявок и обзвона: как внедрить в России","https://chimitdorzhi.tech/blog/golosovoy-ii-robot-obzvon-zayavki-2026/pin.png","CHIMITDORZHI STUDIO","","Голосовой ИИ-робот принимает звонки и заявки круглосуточно, записывает клиентов и напоминает о визите — понимает живую речь, а не «нажмите 1». Разбираю, как внедрить в России и из чего цена.","https://chimitdorzhi.tech/blog/golosovoy-ii-robot-obzvon-zayavki-2026/","","голосовой ИИ, обзвон, ИИ-робот, автоматизация"
"Грант на ИИ-проект: конкурс «Развитие-Искусственный интеллект» Фонда содействия инновациям","https://chimitdorzhi.tech/blog/grant-na-ii-proekt-razvitie-ii-2026/pin.png","CHIMITDORZHI STUDIO","","Фонд содействия инновациям поддерживает ИИ-проекты грантом до 30 млн рублей по конкурсу «Развитие-ИИ». Разбираю, кому подходит, на что можно потратить и как подать заявку. Сроки и суммы сверяйте на fasie.ru.","https://chimitdorzhi.tech/blog/grant-na-ii-proekt-razvitie-ii-2026/","","грант, ИИ, Фонд содействия инновациям, поддержка"
"Гранты на внутренний туризм и краеведение: программа Русского географического общества","https://chimitdorzhi.tech/blog/granty-na-vnutrenniy-turizm-rgo-2026/pin.png","CHIMITDORZHI STUDIO","","РГО выдаёт гранты на внутренний туризм, краеведение и экологию — это шанс для туристических проектов Байкала и Бурятии. Разбираю направления, кому подходит и как подать. Условия сверяйте на rgo.ru.","https://chimitdorzhi.tech/blog/granty-na-vnutrenniy-turizm-rgo-2026/","","грант, туризм, РГО, краеведение"
"ИИ для управления личными финансами: как навести порядок в деньгах","https://chimitdorzhi.tech/blog/ii-dlya-lichnyh-finansov-2026/pin.png","CHIMITDORZHI STUDIO","","ИИ помогает навести порядок в деньгах: разложить траты, найти лишние подписки, не пропустить платежи. Разбираю инструменты и как делать это безопасно — без советов «куда вложить».","https://chimitdorzhi.tech/blog/ii-dlya-lichnyh-finansov-2026/","","ИИ, личные финансы, бюджет, учёт"
"ИИ-хайп против реальности: что правда работает у малого бизнеса в 2026","https://chimitdorzhi.tech/blog/ii-hayp-vs-realnost-2026/pin.png","CHIMITDORZHI STUDIO","","Вокруг ИИ много шума. Трезво разбираю, что реально работает у малого бизнеса в 2026, что пока переоценено и как отличить пользу от хайпа — из практики, а не из рекламы.","https://chimitdorzhi.tech/blog/ii-hayp-vs-realnost-2026/","","ИИ, тренды, малый бизнес, авторская колонка"
"IoT на открытом железе для бизнеса: датчики, мониторинг и автоматизация","https://chimitdorzhi.tech/blog/iot-na-otkrytom-zheleze-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Недорогие датчики на Arduino и ESP32 с открытой прошивкой следят за температурой, оборудованием и ресурсами и шлют уведомления. Разбираю сценарии для бизнеса, как внедрить и как с безопасностью данных.","https://chimitdorzhi.tech/blog/iot-na-otkrytom-zheleze-dlya-biznesa-2026/","","IoT, датчики, ESP32, мониторинг"
"Как я честно считаю окупаемость автоматизации для клиента","https://chimitdorzhi.tech/blog/kak-schitat-okupaemost-avtomatizacii-2026/pin.png","CHIMITDORZHI STUDIO","","Окупаемость нужно считать до внедрения и честно. Показываю свою формулу, что учесть в затратах и выгодах, пример расчёта и ошибки, из-за которых цифры врут.","https://chimitdorzhi.tech/blog/kak-schitat-okupaemost-avtomatizacii-2026/","","окупаемость, ROI, расчёт, авторская колонка"
"Как выбрать IT-подрядчика в Чите и Улан-Удэ и не переплатить","https://chimitdorzhi.tech/blog/kak-vybrat-it-podryadchika-chita-2026/pin.png","CHIMITDORZHI STUDIO","","Сайт, бот, автоматизация — кому доверить? Разбираю, как выбрать IT-подрядчика в Чите и Улан-Удэ: критерии, местный или удалённый, как не переплатить и какие красные флаги отсекают сразу.","https://chimitdorzhi.tech/blog/kak-vybrat-it-podryadchika-chita-2026/","","IT-подрядчик, Чита, Улан-Удэ, выбор"
"Как я автоматизирую бизнес: разбор подхода по шагам","https://chimitdorzhi.tech/blog/kak-ya-avtomatiziruyu-biznes-razbor-2026/pin.png","CHIMITDORZHI STUDIO","","Показываю изнутри, как я подхожу к автоматизации: от узкого места к пилоту, а не «давайте всё сразу». Этапы, обобщённый пример и ошибки, которых избегаю.","https://chimitdorzhi.tech/blog/kak-ya-avtomatiziruyu-biznes-razbor-2026/","","автоматизация, подход, кейс, авторская колонка"
"Как я веду проект: от заявки до запуска — прозрачно","https://chimitdorzhi.tech/blog/kak-ya-vedu-proekt-2026/pin.png","CHIMITDORZHI STUDIO","","Показываю весь путь проекта прозрачно: от заявки до запуска и поддержки. Договор, фиксированная смета, владение кодом у клиента, без «бесконечных доработок» — чтобы вы знали, чего ждать.","https://chimitdorzhi.tech/blog/kak-ya-vedu-proekt-2026/","","процесс, проект, прозрачность, авторская колонка"
"Честно: когда бизнесу не нужен чат-бот, ИИ или автоматизация","https://chimitdorzhi.tech/blog/kogda-biznesu-ne-nuzhen-ii-2026/pin.png","CHIMITDORZHI STUDIO","","Иногда я отговариваю клиентов от ИИ и ботов — потому что им это сейчас не нужно. Честно разбираю, когда автоматизация сольёт бюджет, а когда реально окупится.","https://chimitdorzhi.tech/blog/kogda-biznesu-ne-nuzhen-ii-2026/","","ИИ, честно, автоматизация, авторская колонка"
"Кредиты, гранты и льготы для бизнеса в 2026: навигатор по мерам поддержки","https://chimitdorzhi.tech/blog/kredity-i-lgoty-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Гранты, льготные кредиты, субсидии, бонусы — мер поддержки много, и в них легко потеряться. Собрал навигатор: какие бывают, кому подходят и как выбрать. Ставки и условия сверяйте на офиц. сайтах.","https://chimitdorzhi.tech/blog/kredity-i-lgoty-dlya-biznesa-2026/","","кредиты, гранты, льготы, поддержка бизнеса"
"Куда движутся MAX, ИИ-агенты и 152-ФЗ: авторский взгляд","https://chimitdorzhi.tech/blog/kuda-dvizhutsya-max-ii-152-fz-2026/pin.png","CHIMITDORZHI STUDIO","","Три вещи, за которыми я слежу: MAX, ИИ-агенты и 152-ФЗ. Делюсь авторским взглядом, куда всё движется и что это значит для бизнеса — особенно в регионах.","https://chimitdorzhi.tech/blog/kuda-dvizhutsya-max-ii-152-fz-2026/","","MAX, ИИ-агенты, 152-ФЗ, авторская колонка"
"Квалификация лидов ботом: отсеять пустые заявки и отдать продажам горячих","https://chimitdorzhi.tech/blog/kvalifikaciya-lidov-botom-2026/pin.png","CHIMITDORZHI STUDIO","","Бот-квалификатор отсеивает пустые заявки и отдаёт продажам горячих — экономит время отдела и растит конверсию. Работает в Telegram и MAX. Разбираю, как настроить скоринг и маршрутизацию.","https://chimitdorzhi.tech/blog/kvalifikaciya-lidov-botom-2026/","","квалификация лидов, скоринг, MAX, продажи"
